Store_ID,Store_Name,Store_Address,Store_Postcode,Region,Date,Revenue,Expenses,Net_Cash_Flow,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow,Average_Transaction_Value,Customer_Traffic,Inventory_Levels
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-01,6635.7120961277615,4024.19023824578,2611.5218578819813,3022.2410297744304,-169.50984916807909,-922.4819359345546,901.7502715849199,334,42117
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-02,9354.28868376905,4571.3598268022,4782.92885696685,4545.325269575872,-665.5764005548895,-913.8402376421861,906.2923751759819,416,67261
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-03,7368.346663941484,5575.075814389742,1793.2708495517418,4806.839978757433,-395.47613795622976,918.3308226054701,966.723526453908,739,39264
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-04,8735.217751113418,3624.106969819814,5111.110781293604,3720.8277764494132,731.6448863661928,150.29108355616017,1421.6498797792112,531,42470
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-05,5109.190889922554,4899.49747090913,209.6934190134234,2735.0401905304843,513.3710423622047,-226.14616163787264,1046.3887562683374,705,45050
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-06,6345.116901335524,6141.568066496495,203.54883483902904,4566.03351851714,-825.0264278937252,-766.8745891676507,1344.609404122729,545,62401
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-07,6098.6385622481075,5743.315673945783,355.3228883023248,3510.0893450474014,-10.016131429239294,-460.9416532175294,1224.6088045297056,480,62052
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-08,5318.554405960913,3144.5792184516013,2173.9751875093116,4442.252872544674,-196.5832406877446,-888.1425578749152,977.0367152635052,269,62041
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-09,7456.028548448147,3174.4076436202117,4281.620904827936,4512.421359854117,-423.5562318041053,202.99338159093077,1036.2794148666635,390,12560
1,VIC_Store_1,"1 Main Street, VIC",2001,VIC,2023-01-10,6010.8881680329605,3325.930835154862,2684.9573328780984,2931.747364838937,-956.6440647043521,-213.34955940315047,795.2743937967641,690,47501
