Store_ID,Store_Address,State,Date,Revenue,Expenses,Company,Company_ID,Client_ID
1,"1 Random Street, VIC",VIC,2023-01-01,8059.550258651294,4379.057072884118,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-02,8423.003604608559,5234.177741282065,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-03,5057.905656954355,3949.614648327197,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-04,6130.7138324290345,6101.920050420162,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-05,7496.917266200569,6167.165907290483,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-06,6738.146572756355,6086.271465107021,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-07,5829.830606971597,3133.1090779006627,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-08,9476.976880015682,3686.90496050705,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-09,7525.8938950856345,4127.838999728738,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-10,7863.117135310917,5862.6471458670985,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-11,9157.003685879497,6392.227170780222,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-12,8298.054230890808,6298.951473141746,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-13,7366.985844250152,4681.094432051226,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-14,7117.878024068452,3615.510669650351,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-15,9930.126859520256,6545.662123153849,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-16,7531.364569186638,4720.116037597932,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-17,9328.146460574648,4527.414850639637,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-18,6112.895755277489,3459.5481934997556,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-19,6090.899615415195,5554.06720105639,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-20,5072.229948822519,6202.414323510302,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-21,8241.914985076779,5756.567264397445,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-22,9591.112150477782,5765.96459695792,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-23,8029.261522175711,5547.355307880225,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-24,6399.394836813659,5608.999348149984,Coles,1,1
1,"1 Random Street, VIC",VIC,2023-01-25,7414.51769862241,4943.354953881961,Coles,1,1
